кадастровый квартал;тип сделки;год;квартал сделки;адрес;ври;площадь;цена;договор
71:22:010412;купля-продажа земельного участка;2024;4;ул. Глеба Успенского;Для ведения личного подсобного хозяйства;3935;3500000;ДКП
71:22:010412;купля-продажа земельного участка;2024;4;ул. Шоссейная;Для ведения личного подсобного хозяйства;7009;300000;ДКП
71:22:010412;купля-продажа земельного участка;2024;4;не указана;Для ведения личного подсобного хозяйства;1326;1000000;ДКП
71:22:010412;купля-продажа земельного участка;2024;4;не указана;Для ведения личного подсобного хозяйства;1524;1000000;ДКП
71:22:010412;купля-продажа земельного участка;2025;1;не указана;Для ведения личного подсобного хозяйства;4029;500000;ДКП
71:22:010412;купля-продажа земельного участка;2025;3;ул. Парковая;Для ведения личного подсобного хозяйства;9167;4950000;ДКП
71:22:010412;аренда земельного участка;2025;4;не указана;Для ведения личного подсобного хозяйства;3877;68500;
71:22:010412;аренда земельного участка;2025;4;не указана;Для ведения личного подсобного хозяйства;2881;54200;
71:22:010412;купля-продажа здания;2025;2;ул. Центральная, д. 1;Жилой дом;120;2500000;ДКП
50:29:0020211;купля-продажа земельного участка;2026;1;г.о. Воскресенск, адрес уточнить;ИЖС;600;1000000;ДКП
